iterations,max_attempts,pop,mutation,best_fitness,time
90,100,200,0.05,77.0,2.4148447513580322
90,100,200,0.1,68.0,2.4786572456359863
90,100,200,0.2,63.0,2.580101251602173
95,100,100,0.05,67.0,1.227755069732666
95,100,100,0.1,71.0,1.3024773597717285
95,100,100,0.2,64.0,1.3244585990905762
95,100,200,0.05,77.0,2.454437255859375
95,100,200,0.1,68.0,2.622999906539917
95,100,200,0.2,63.0,2.862736701965332
100,100,100,0.05,71.0,1.3853349685668945
100,100,100,0.1,71.0,1.4192051887512207
100,100,100,0.2,64.0,1.372309923171997
100,100,200,0.05,77.0,2.5412051677703857
100,100,200,0.1,68.0,2.6100215911865234
100,100,200,0.2,64.0,2.7496485710144043
105,100,100,0.05,71.0,1.3214664459228516
105,100,100,0.1,71.0,1.390282392501831
105,100,100,0.2,64.0,1.5468642711639404
105,100,200,0.05,77.0,3.0870957374572754
105,100,200,0.1,68.0,2.79459285736084
105,100,200,0.2,64.0,2.973087787628174
110,100,100,0.05,71.0,1.5314955711364746
110,100,100,0.1,71.0,1.803192377090454
110,100,100,0.2,64.0,1.62369704246521
110,100,200,0.05,77.0,2.942531108856201
110,100,200,0.1,68.0,2.908224582672119
110,100,200,0.2,64.0,3.1286346912384033
115,100,100,0.05,71.0,1.5338985919952393
115,100,100,0.1,71.0,1.5578341484069824
115,100,100,0.2,64.0,1.5907282829284668
115,100,200,0.05,77.0,2.923184633255005
115,100,200,0.1,68.0,2.9979841709136963
115,100,200,0.2,64.0,3.2138354778289795
120,100,100,0.05,71.0,1.5738286972045898
120,100,100,0.1,71.0,1.5837671756744385
120,100,100,0.2,64.0,1.6672642230987549
120,100,200,0.05,77.0,3.0468530654907227
120,100,200,0.1,68.0,3.130629301071167
120,100,200,0.2,64.0,3.3261067867279053
125,100,100,0.05,71.0,1.5887503623962402
125,100,100,0.1,71.0,1.6336314678192139
125,100,100,0.2,64.0,1.7403464317321777
125,100,200,0.05,77.0,3.1535680294036865
125,100,200,0.1,68.0,3.2772371768951416
125,100,200,0.2,66.0,3.4745891094207764
130,100,100,0.05,71.0,1.6924633979797363
130,100,100,0.1,71.0,1.6814861297607422
130,100,100,0.2,64.0,1.7902135848999023
130,100,200,0.05,77.0,3.2991788387298584
130,100,200,0.1,68.0,3.407195568084717
130,100,200,0.2,66.0,3.655228614807129
135,100,100,0.05,71.0,1.7231314182281494
135,100,100,0.1,71.0,1.7513172626495361
135,100,100,0.2,64.0,1.8709921836853027
135,100,200,0.05,77.0,3.5136070251464844
135,100,200,0.1,68.0,3.668303966522217
135,100,200,0.2,66.0,4.087653160095215
140,100,100,0.05,71.0,1.8062167167663574
140,100,100,0.1,71.0,1.8360929489135742
140,100,100,0.2,64.0,1.9507877826690674
140,100,200,0.05,77.0,3.629303216934204
140,100,200,0.1,69.0,3.7220497131347656
140,100,200,0.2,66.0,3.962371349334717
145,100,100,0.05,71.0,1.8660123348236084
145,100,100,0.1,71.0,1.8842005729675293
145,100,100,0.2,64.0,1.8939361572265625
145,100,200,0.05,77.0,3.6801602840423584
145,100,200,0.1,69.0,4.210804224014282
145,100,200,0.2,66.0,4.059297323226929
150,100,100,0.05,71.0,1.947230577468872
150,100,100,0.1,71.0,2.0535876750946045
150,100,100,0.2,64.0,2.4543538093566895
150,100,200,0.05,77.0,4.238573789596558
150,100,200,0.1,69.0,4.173891305923462
150,100,200,0.2,66.0,4.344018936157227
155,100,100,0.05,71.0,2.1562659740448
155,100,100,0.1,71.0,2.0863096714019775
155,100,100,0.2,64.0,2.084489107131958
155,100,200,0.05,77.0,4.238020420074463
155,100,200,0.1,69.0,4.116677284240723
155,100,200,0.2,66.0,4.733344554901123
160,100,100,0.05,71.0,2.159226417541504
160,100,100,0.1,71.0,1.972886562347412
160,100,100,0.2,64.0,2.080195903778076
160,100,200,0.05,77.0,4.204739093780518
160,100,200,0.1,69.0,4.467056512832642
160,100,200,0.2,66.0,4.635092496871948
165,100,100,0.05,71.0,2.1562347412109375
165,100,100,0.1,71.0,1.9278473854064941
165,100,100,0.2,64.0,1.9936692714691162
165,100,200,0.05,77.0,4.452069997787476
165,100,200,0.1,69.0,4.562801122665405
165,100,200,0.2,66.0,4.765220403671265
170,100,100,0.05,71.0,2.6723194122314453
170,100,100,0.1,71.0,2.1307311058044434
170,100,100,0.2,64.0,2.0824320316314697
170,100,200,0.05,77.0,4.8620805740356445
170,100,200,0.1,69.0,5.035531282424927
170,100,200,0.2,66.0,5.153261184692383
