iterations,max_attempts,pop,mutation,best_fitness,time
145,100,100,0.1,45.0,1.5309257507324219
145,100,100,0.2,43.0,1.6715338230133057
145,100,200,0.05,47.0,2.93680739402771
145,100,200,0.1,44.0,2.436894178390503
145,100,200,0.2,45.0,2.577554941177368
150,100,100,0.05,44.0,1.218461036682129
150,100,100,0.1,45.0,1.5777628421783447
150,100,100,0.2,43.0,1.7894017696380615
150,100,200,0.05,47.0,2.999295234680176
150,100,200,0.1,44.0,2.4681668281555176
150,100,200,0.2,45.0,2.5386338233947754
155,100,100,0.05,44.0,1.2497410774230957
155,100,100,0.1,45.0,1.608999252319336
155,100,100,0.2,43.0,1.8120801448822021
155,100,200,0.05,47.0,3.077388286590576
155,100,200,0.1,44.0,2.382528305053711
155,100,200,0.2,45.0,2.5150339603424072
160,100,100,0.05,44.0,1.327810525894165
160,100,100,0.1,45.0,1.5777547359466553
160,100,100,0.2,43.0,1.8533999919891357
160,100,200,0.05,47.0,3.171130657196045
160,100,200,0.1,44.0,2.3900299072265625
160,100,200,0.2,45.0,2.5089917182922363
165,100,100,0.05,44.0,1.2497053146362305
165,100,100,0.1,45.0,1.608997106552124
165,100,100,0.2,43.0,1.9526665210723877
165,100,200,0.05,47.0,3.280479907989502
165,100,200,0.1,44.0,2.436924695968628
165,100,200,0.2,45.0,2.4837839603424072
170,100,100,0.05,44.0,1.2340900897979736
170,100,100,0.1,45.0,1.6225829124450684
170,100,100,0.2,43.0,1.9370417594909668
170,100,200,0.05,47.0,3.400818109512329
170,100,200,0.1,44.0,2.4056859016418457
170,100,200,0.2,45.0,2.5150461196899414
175,100,100,0.05,44.0,1.3121778964996338
175,100,100,0.1,45.0,1.6714937686920166
175,100,100,0.2,43.0,2.0307626724243164
175,100,200,0.05,47.0,3.592907667160034
175,100,200,0.1,44.0,2.405686855316162
175,100,200,0.2,45.0,2.5150339603424072
180,100,100,0.05,44.0,1.2496728897094727
180,100,100,0.1,45.0,1.6558582782745361
180,100,100,0.2,43.0,2.077636957168579
180,100,200,0.05,47.0,3.631772041320801
180,100,200,0.1,44.0,2.4056804180145264
180,100,200,0.2,45.0,2.499412775039673
185,100,100,0.05,44.0,1.21846604347229
185,100,100,0.1,45.0,1.618471622467041
185,100,100,0.2,43.0,1.9995691776275635
185,100,200,0.05,47.0,3.7803585529327393
185,100,200,0.1,44.0,2.4626314640045166
185,100,200,0.2,45.0,2.858670949935913
190,100,100,0.05,44.0,1.4215402603149414
190,100,100,0.1,45.0,1.8121168613433838
190,100,100,0.2,43.0,2.0594677925109863
190,100,200,0.05,47.0,3.9053330421447754
190,100,200,0.1,44.0,2.468168258666992
190,100,200,0.2,45.0,2.6163456439971924
195,100,100,0.05,44.0,1.265326738357544
195,100,100,0.1,45.0,1.6246190071105957
195,100,100,0.2,43.0,2.0932228565216064
195,100,200,0.05,47.0,3.9678187370300293
195,100,200,0.1,44.0,2.499446392059326
195,100,200,0.2,45.0,2.7337331771850586
200,100,100,0.05,44.0,1.530890941619873
200,100,100,0.1,45.0,1.718346357345581
200,100,100,0.2,43.0,2.046359062194824
200,100,200,0.05,47.0,3.991982936859131
200,100,200,0.1,44.0,2.4681777954101562
200,100,200,0.2,45.0,2.530611515045166
205,100,100,0.05,44.0,1.2910692691802979
205,100,100,0.1,45.0,1.671485424041748
205,100,100,0.2,43.0,1.9682929515838623
205,100,200,0.05,47.0,3.8584256172180176
205,100,200,0.1,44.0,2.447967767715454
205,100,200,0.2,45.0,2.499415874481201
210,100,100,0.05,44.0,1.2496676445007324
210,100,100,0.1,45.0,1.6090316772460938
210,100,100,0.2,43.0,2.0464086532592773
210,100,200,0.05,47.0,3.9833898544311523
210,100,200,0.1,44.0,2.515035390853882
210,100,200,0.2,45.0,2.6087605953216553
215,100,100,0.05,44.0,1.2966034412384033
215,100,100,0.1,45.0,1.5933783054351807
215,100,100,0.2,43.0,1.9526660442352295
215,100,200,0.05,47.0,3.9677841663360596
215,100,200,0.1,44.0,2.4369618892669678
215,100,200,0.2,45.0,2.5774850845336914
220,100,100,0.05,44.0,1.2966058254241943
220,100,100,0.1,45.0,1.608996868133545
220,100,100,0.2,43.0,2.0307347774505615
220,100,200,0.05,47.0,3.9989843368530273
220,100,200,0.1,44.0,2.405684232711792
220,100,200,0.2,45.0,2.499375820159912
225,100,100,0.05,44.0,1.588413953781128
225,100,100,0.1,45.0,2.2181925773620605
225,100,100,0.2,43.0,2.2338833808898926
225,100,200,0.05,47.0,4.718626976013184
225,100,200,0.1,44.0,2.8274571895599365
225,100,200,0.2,45.0,3.0774340629577637
230,100,100,0.05,44.0,1.4527873992919922
230,100,100,0.1,45.0,1.7194626331329346
230,100,100,0.2,43.0,2.4369277954101562
230,100,200,0.05,47.0,4.866820335388184
230,100,200,0.1,44.0,3.202336549758911
230,100,200,0.2,45.0,3.171128034591675
235,100,100,0.05,44.0,1.447211742401123
235,100,100,0.1,45.0,1.7495882511138916
235,100,100,0.2,43.0,2.1557071208953857
235,100,200,0.05,47.0,4.4928693771362305
235,100,200,0.1,44.0,3.014913320541382
235,100,200,0.2,45.0,3.014920949935913
240,100,100,0.05,44.0,1.3413949012756348
240,100,100,0.1,45.0,1.84328293800354
240,100,100,0.2,43.0,2.1557443141937256
240,100,200,0.05,47.0,4.278744697570801
240,100,200,0.1,44.0,2.530649423599243
240,100,200,0.2,45.0,2.561896800994873
245,100,100,0.05,44.0,1.2340846061706543
245,100,100,0.1,45.0,1.5898363590240479
245,100,100,0.2,43.0,2.015150785446167
245,100,200,0.05,47.0,4.10837459564209
245,100,200,0.1,44.0,2.4994142055511475
245,100,200,0.2,45.0,2.515068769454956
