iterations,max_attempts,schedule,best_fitness,time
90,150,arith,4.0,0.002991914749145508
95,150,geom,4.0,0.00398707389831543
95,150,exp,4.0,0.002991199493408203
95,150,arith,4.0,0.0029926300048828125
100,150,geom,4.0,0.002988576889038086
100,150,exp,4.0,0.002991914749145508
100,150,arith,4.0,0.003989696502685547
105,150,geom,4.0,0.003988742828369141
105,150,exp,4.0,0.0029916763305664062
105,150,arith,4.0,0.0029914379119873047
110,150,geom,5.0,0.003988981246948242
110,150,exp,5.0,0.003988981246948242
110,150,arith,5.0,0.0029916763305664062
115,150,geom,5.0,0.003988742828369141
115,150,exp,5.0,0.003988742828369141
115,150,arith,5.0,0.003989219665527344
120,150,geom,5.0,0.003988981246948242
120,150,exp,5.0,0.003988981246948242
120,150,arith,5.0,0.0029921531677246094
125,150,geom,5.0,0.003989219665527344
125,150,exp,5.0,0.003989458084106445
125,150,arith,5.0,0.003989458084106445
130,150,geom,5.0,0.003988981246948242
130,150,exp,5.0,0.003988742828369141
130,150,arith,5.0,0.003989219665527344
135,150,geom,5.0,0.003989219665527344
135,150,exp,5.0,0.004986286163330078
135,150,arith,5.0,0.004987001419067383
140,150,geom,5.0,0.003973960876464844
140,150,exp,5.0,0.0059833526611328125
140,150,arith,5.0,0.003988504409790039
145,150,geom,5.0,0.003973484039306641
145,150,exp,5.0,0.0059833526611328125
145,150,arith,5.0,0.00498652458190918
150,150,geom,5.0,0.0049860477447509766
150,150,exp,5.0,0.0049860477447509766
150,150,arith,5.0,0.005982398986816406
155,150,geom,5.0,0.0059833526611328125
155,150,exp,5.0,0.005983591079711914
155,150,arith,5.0,0.005983829498291016
160,150,geom,6.0,0.0049860477447509766
160,150,exp,6.0,0.0049860477447509766
160,150,arith,6.0,0.004986286163330078
165,150,geom,6.0,0.004986286163330078
165,150,exp,6.0,0.0059833526611328125
165,150,arith,6.0,0.004986286163330078
170,150,geom,6.0,0.004986286163330078
170,150,exp,6.0,0.00698089599609375
170,150,arith,6.0,0.00498652458190918
175,150,geom,57.0,0.00498652458190918
175,150,exp,57.0,0.005983829498291016
175,150,arith,57.0,0.0059642791748046875
180,150,geom,57.0,0.005984067916870117
180,150,exp,57.0,0.005982875823974609
180,150,arith,57.0,0.0069811344146728516
185,150,geom,57.0,0.005984067916870117
185,150,exp,57.0,0.0069806575775146484
185,150,arith,57.0,0.006981372833251953
190,150,geom,57.0,0.0059833526611328125
190,150,exp,57.0,0.007978200912475586
190,150,arith,57.0,0.00698089599609375
195,150,geom,57.0,0.005984067916870117
195,150,exp,57.0,0.006979465484619141
195,150,arith,57.0,0.00698089599609375
200,150,geom,57.0,0.007978677749633789
200,150,exp,57.0,0.0069806575775146484
200,150,arith,57.0,0.0069811344146728516
205,150,geom,57.0,0.00698089599609375
205,150,exp,57.0,0.006980180740356445
205,150,arith,57.0,0.007978677749633789
210,150,geom,59.0,0.005981922149658203
210,150,exp,59.0,0.007964372634887695
210,150,arith,59.0,0.006980180740356445
215,150,geom,59.0,0.007965803146362305
215,150,exp,59.0,0.007977485656738281
215,150,arith,59.0,0.008975028991699219
220,150,geom,59.0,0.007978439331054688
220,150,exp,59.0,0.008975744247436523
220,150,arith,59.0,0.012965917587280273
225,150,geom,59.0,0.01794719696044922
225,150,exp,59.0,0.009973287582397461
225,150,arith,59.0,0.008975505828857422
230,150,geom,59.0,0.008975744247436523
230,150,exp,59.0,0.009972810745239258
230,150,arith,59.0,0.00997304916381836
235,150,geom,59.0,0.010970592498779297
235,150,exp,59.0,0.012966156005859375
235,150,arith,59.0,0.008974313735961914
240,150,geom,59.0,0.009972572326660156
240,150,exp,59.0,0.010970354080200195
240,150,arith,59.0,0.009971857070922852
245,150,geom,61.0,0.009972572326660156
245,150,exp,60.0,0.011968612670898438
245,150,arith,60.0,0.009972572326660156
