iterations,max_attempts,pop,mutation,best_fitness,time
160,100,200,0.05,66.0,5.164155960083008
160,100,200,0.1,33.0,4.2057318687438965
160,100,200,0.2,31.0,6.423824310302734
165,100,100,0.05,66.0,2.677839994430542
165,100,100,0.1,39.0,3.0797653198242188
165,100,100,0.2,36.0,2.789541721343994
165,100,200,0.05,66.0,5.307797193527222
165,100,200,0.1,33.0,3.8606796264648438
165,100,200,0.2,31.0,6.779860496520996
170,100,100,0.05,66.0,2.990001678466797
170,100,100,0.1,39.0,3.266305923461914
170,100,100,0.2,36.0,2.9142041206359863
170,100,200,0.05,66.0,5.5441789627075195
170,100,200,0.1,33.0,3.814800262451172
170,100,200,0.2,35.0,7.997617244720459
175,100,100,0.05,66.0,3.1645383834838867
175,100,100,0.1,39.0,3.750016927719116
175,100,100,0.2,36.0,3.513634204864502
175,100,200,0.05,66.0,6.026921033859253
175,100,200,0.1,33.0,3.945451021194458
175,100,200,0.2,35.0,7.396714210510254
180,100,100,0.05,66.0,3.3191921710968018
180,100,100,0.1,39.0,4.189509868621826
180,100,100,0.2,36.0,2.865377426147461
180,100,200,0.05,66.0,6.192495822906494
180,100,200,0.1,33.0,3.9559402465820312
180,100,200,0.2,35.0,7.782192945480347
185,100,100,0.05,66.0,3.257328987121582
185,100,100,0.1,39.0,3.6612472534179688
185,100,100,0.2,36.0,3.1436259746551514
185,100,200,0.05,66.0,6.165477275848389
185,100,200,0.1,33.0,4.102068901062012
185,100,200,0.2,35.0,7.832058668136597
190,100,100,0.05,66.0,3.104739189147949
190,100,100,0.1,39.0,3.797403335571289
190,100,100,0.2,36.0,2.9980216026306152
190,100,200,0.05,66.0,6.326102256774902
190,100,200,0.1,33.0,3.966118097305298
190,100,200,0.2,35.0,8.28684401512146
195,100,100,0.05,66.0,3.2742509841918945
195,100,100,0.1,39.0,3.6402692794799805
195,100,100,0.2,36.0,3.343061923980713
195,100,200,0.05,66.0,6.586354732513428
195,100,200,0.1,33.0,4.150900363922119
195,100,200,0.2,35.0,8.359649658203125
200,100,100,0.05,66.0,3.352034568786621
200,100,100,0.1,39.0,3.622281074523926
200,100,100,0.2,36.0,2.915219783782959
200,100,200,0.05,66.0,6.163529634475708
200,100,200,0.1,33.0,3.982391357421875
200,100,200,0.2,35.0,9.050837278366089
205,100,100,0.05,66.0,3.5494720935821533
205,100,100,0.1,39.0,3.7071220874786377
205,100,100,0.2,36.0,2.816470146179199
205,100,200,0.05,66.0,6.406855821609497
205,100,200,0.1,33.0,3.9633629322052
205,100,200,0.2,35.0,8.68381667137146
210,100,100,0.05,66.0,3.6861443519592285
210,100,100,0.1,39.0,3.696082353591919
210,100,100,0.2,36.0,2.897289514541626
210,100,200,0.05,66.0,6.430769443511963
210,100,200,0.1,33.0,4.462071657180786
210,100,200,0.2,35.0,8.440467357635498
215,100,100,0.05,66.0,3.3600194454193115
215,100,100,0.1,39.0,3.4866786003112793
215,100,100,0.2,36.0,2.8344228267669678
215,100,200,0.05,66.0,6.164518117904663
215,100,200,0.1,33.0,3.811800241470337
215,100,200,0.2,35.0,8.8423593044281
220,100,100,0.05,66.0,3.4906668663024902
220,100,100,0.1,39.0,3.4527323246002197
220,100,100,0.2,36.0,2.891305446624756
220,100,200,0.05,66.0,6.125619173049927
220,100,200,0.1,33.0,3.743973731994629
220,100,200,0.2,35.0,8.873313665390015
225,100,100,0.05,66.0,3.4587488174438477
225,100,100,0.1,39.0,3.455761671066284
225,100,100,0.2,36.0,2.8059165477752686
