trial,n_iter,gamma,alpha,alpha_decay,alpha_min,epsilon,epsilon_decay,epsilon_min,time,vi_pi_error,vi_error,pi_error,mean_v
14.0,10418.0,0.9125244607606496,0.5843580078008541,0.9996570281675718,0.2493765495347488,0.7240435748337136,0.9990199180422736,0.16941480474214718,3.712069749832153,0.06631400495402981,65886.65170889861,65886.71802290356,35819.133661899905
15.0,10456.0,0.9650772464013382,0.3167128749870441,0.9993929784223288,0.057849474891359075,0.9098455980386696,0.9995192162820944,0.4247624029350819,5.6419453620910645,0.06631400495402981,66131.64693125515,66131.71324526009,17016.15366319985
16.0,10360.0,0.9247409787269868,0.6623007761887273,0.9998256880979124,0.1803031251228777,0.7579780385068071,0.9991879910419742,0.0331042365809134,3.869648933410645,0.06631400495402981,65865.17567421145,65865.24198821641,43302.372497954246
17.0,10204.0,0.9486292287605556,0.4722407301380298,0.9996680463305686,0.25227442152320584,0.9927173756825328,0.9998951437946798,0.7961416018270802,5.962051868438723,0.06631400495402981,65807.66741764775,65807.73373165271,38492.98840900755
18.0,11082.0,0.8524009695865868,0.985474477139798,0.9991710457764772,0.05710454890259028,0.7937397535436499,0.9998934265680076,0.07459418915124992,6.08771538734436,0.06631400495402981,66143.48141806205,66143.547732067,21135.805039826842
19.0,11222.0,0.9834401946887124,0.854196283239703,0.9997501950681792,0.2388352329035561,0.9756080055308204,0.999385625797156,0.7923961400552977,5.252900123596191,0.06631400495402981,65807.14024700758,65807.20656101253,43744.58042220678
0.0,10656.0,0.894899177384588,0.3585477594865122,0.9998037842377412,0.19923636497165265,0.6142434500271472,0.9993682130982624,0.6085909082763318,3.3719656467437744,0.06631400495402981,66084.56708839447,66084.63340239943,22262.88553830116
1.0,10385.0,0.6611334103682822,0.8226412270114223,0.9991626298941552,0.2466670519980329,0.8715579239791114,0.9993857963453232,0.3773803274078651,3.042894124984741,0.06631400495402981,66211.20602786855,66211.27234187351,15464.127701323125
2.0,10753.0,0.7556033473987488,0.3141087154731469,0.9998458739052496,0.23623528014501224,0.9181905549522912,0.9995347704389336,0.6208079960906808,4.559787034988403,0.06631400495402981,66155.26368504716,66155.32999905213,19559.13850030324
3.0,10988.0,0.7476808573082151,0.5844529717057401,0.9995763469030864,0.004051412064571624,0.8213135011833094,0.9995715351758448,0.43083127742194666,3.846725702285767,0.06631400495402981,66312.33548750673,66312.40180151169,9215.012226796818
